method,MAE,MASE,RMSSE,n_series,approach
base,0.16478637061954238,1.0853569741639724,0.9930994499916753,400,centralised
bu,0.16562033719331018,1.083190323651437,0.9925310796511713,400,centralised
mint_ols,0.16823699112232476,1.1257284025301388,0.9935380209089385,400,centralised
mint_shrinkage,0.16462634094616158,1.094923417357529,0.9862789189824006,400,centralised
mint_var,0.16484940739681375,1.0876371253361268,0.9886499296934891,400,centralised
naive,0.18556221675228313,1.1676980617865262,1.133205203092397,400,centralised
wls_structure,0.16471748917660256,1.09352700591474,0.9876555111298682,400,centralised
