partition_id,stopped_early,stop_epoch,stop_reason,early_stop_tol,min_epochs,final_avg_normalised_loss,final_avg_actual_loss,n_train,n_test
172,False,100,max_epochs,1e-05,20,0.18127228129380016,0.014842010868812433,13968,3504
173,False,100,max_epochs,1e-05,20,0.253322138943369,0.015370389664690953,13968,3504
174,False,100,max_epochs,1e-05,20,0.11721231737208511,0.02288049693613283,13968,3504
175,False,100,max_epochs,1e-05,20,0.2555965272886541,0.01689444226582254,13968,3504
176,False,100,max_epochs,1e-05,20,0.32622008571692496,0.02856748638330424,13968,3504
177,False,100,max_epochs,1e-05,20,0.1703061249400719,0.02710394795322813,13968,3504
178,False,100,max_epochs,1e-05,20,0.19493034256716943,0.028938281115788275,13968,3504
179,False,100,max_epochs,1e-05,20,0.26660106695326063,0.03276808804990318,13968,3504
180,False,100,max_epochs,1e-05,20,0.23491405151803835,0.010020505980861176,13968,3504
181,False,100,max_epochs,1e-05,20,0.21924790530060262,0.0044002986919475665,13968,3504
182,False,100,max_epochs,1e-05,20,0.2682390128275924,0.0592270846606501,13968,3504
183,False,100,max_epochs,1e-05,20,0.3128521978874459,0.014855001066832966,13968,3504
184,False,100,max_epochs,1e-05,20,0.1086170462272937,0.031386699215325824,13968,3504
185,False,100,max_epochs,1e-05,20,0.1778418984730652,0.023475376980123145,13968,3504
186,False,100,max_epochs,1e-05,20,0.28776976950200844,0.05742667906914342,13968,3504
187,False,100,max_epochs,1e-05,20,0.21524848993342988,0.03308162019040375,13968,3504
188,False,100,max_epochs,1e-05,20,0.12553008141673405,0.05703273151156192,13968,3504
189,False,100,max_epochs,1e-05,20,0.1470235780116307,0.03680931029993199,13968,3504
190,False,100,max_epochs,1e-05,20,0.3181646592679397,0.014784607327760355,13968,3504
191,False,100,max_epochs,1e-05,20,0.18244934285257075,0.022574080558146224,13968,3504
192,False,100,max_epochs,1e-05,20,0.15225506240853887,0.04168179138970875,13968,3504
193,False,100,max_epochs,1e-05,20,0.1819535308967898,0.040500723175387665,13968,3504
194,True,60,normalised_loss_delta<1e-05 after min_epochs=20,1e-05,20,0.18166485048860193,0.017749797860216715,13968,3504
195,False,100,max_epochs,1e-05,20,0.2697449186349168,0.00891179669298678,13968,3504
196,True,51,normalised_loss_delta<1e-05 after min_epochs=20,1e-05,20,0.39132574363009565,0.026244333736540212,13968,3504
197,False,100,max_epochs,1e-05,20,0.3823357016083718,0.006941774564605207,13968,3504
198,False,100,max_epochs,1e-05,20,0.3501219836284952,0.01664597118579858,13968,3504
199,False,100,max_epochs,1e-05,20,0.2654953880234944,0.0037623736521836364,13968,3504
200,True,83,normalised_loss_delta<1e-05 after min_epochs=20,1e-05,20,0.4409186967938087,0.009786710347350853,13968,3504
201,True,99,normalised_loss_delta<1e-05 after min_epochs=20,1e-05,20,0.33249581610539986,0.061094729585881344,13968,3504
202,False,100,max_epochs,1e-05,20,0.15368634769801834,0.016458009479248508,13968,3504
203,False,100,max_epochs,1e-05,20,0.2662631135846815,0.09103637238727821,13968,3504
204,False,100,max_epochs,1e-05,20,0.1579363244842354,0.026569501268544467,13968,3504
205,False,100,max_epochs,1e-05,20,0.2538302406598101,0.04028143005610543,13968,3504
206,True,71,normalised_loss_delta<1e-05 after min_epochs=20,1e-05,20,0.21050829221865952,0.03282324679676041,13968,3504
207,False,100,max_epochs,1e-05,20,0.27943032951163727,0.023971957373425352,13968,3504
208,False,100,max_epochs,1e-05,20,0.27935361287546545,0.02810375219450154,13968,3504
209,False,100,max_epochs,1e-05,20,0.10182097458547013,0.008589268588391838,13968,3504
210,False,100,max_epochs,1e-05,20,0.24345705310953902,0.003503063058855802,13968,3504
211,False,100,max_epochs,1e-05,20,0.48187801866885094,0.011575115727239568,13968,3504
212,False,100,max_epochs,1e-05,20,0.2133747901639812,0.017546337360374326,13968,3504
213,False,100,max_epochs,1e-05,20,0.19806775678647742,0.018411738812720835,13968,3504
214,False,100,max_epochs,1e-05,20,0.23386604371440692,0.016306755547651163,13968,3504
215,False,100,max_epochs,1e-05,20,0.3068354975234265,0.016723288390153877,13968,3504
216,False,100,max_epochs,1e-05,20,0.28387377791317625,0.004390133109885488,13968,3504
217,False,100,max_epochs,1e-05,20,0.2768562738752437,0.03711272414005514,13968,3504
218,False,100,max_epochs,1e-05,20,0.2896961532566454,0.006575175322799843,13968,3504
219,False,100,max_epochs,1e-05,20,0.2690991117902687,0.011455069779576709,13968,3504
220,False,100,max_epochs,1e-05,20,0.38347101744375073,0.03249877100493759,13968,3504
221,False,100,max_epochs,1e-05,20,0.34588917387711166,0.022331240835089847,13968,3504
222,False,100,max_epochs,1e-05,20,0.27846744261494605,0.027490618318603565,13968,3504
223,False,100,max_epochs,1e-05,20,0.18712431317164063,0.03154816677314454,13968,3504
224,False,100,max_epochs,1e-05,20,0.20033804930754728,0.016312771052377367,13968,3504
225,False,100,max_epochs,1e-05,20,0.11739198488691696,0.015234049883412704,13968,3504
226,False,100,max_epochs,1e-05,20,0.20198068280339723,0.003644073445724726,13968,3504
227,False,100,max_epochs,1e-05,20,0.1556231369342719,0.026333964726795916,13968,3504
228,False,100,max_epochs,1e-05,20,0.3224169670847913,0.02086351302160497,13968,3504
229,False,100,max_epochs,1e-05,20,0.22665605493015162,0.07165721850381107,13968,3504
230,False,100,max_epochs,1e-05,20,0.22828459186362562,0.0027170607312007457,13968,3504
231,False,100,max_epochs,1e-05,20,0.2628455288997952,0.007219998645235579,13968,3504
232,False,100,max_epochs,1e-05,20,0.3140829511663969,0.029658987217409626,13968,3504
233,False,100,max_epochs,1e-05,20,0.2857074582627232,0.020456740178727825,13968,3504
234,False,100,max_epochs,1e-05,20,0.2572603577908459,0.024015467143680698,13968,3504
235,False,100,max_epochs,1e-05,20,0.3244926734733448,0.007683868681048184,13968,3504
236,False,100,max_epochs,1e-05,20,0.20391990812108704,0.006447872652342152,13968,3504
237,False,100,max_epochs,1e-05,20,0.17984716357171593,0.010723675451921535,13968,3504
238,False,100,max_epochs,1e-05,20,0.3001473277853377,0.0674334291090737,13968,3504
239,False,100,max_epochs,1e-05,20,0.18331310965881986,0.02809391997056527,13968,3504
240,True,96,normalised_loss_delta<1e-05 after min_epochs=20,1e-05,20,0.24573898435498814,0.01665749443482403,13968,3504
241,False,100,max_epochs,1e-05,20,0.18784034211058484,0.021526395630546282,13968,3504
242,False,100,max_epochs,1e-05,20,0.26246470637742486,0.03825466832771177,13968,3504
243,True,86,normalised_loss_delta<1e-05 after min_epochs=20,1e-05,20,0.15545031019044583,0.04451594286398175,13968,3504
244,False,100,max_epochs,1e-05,20,0.2561426826154803,0.00942754384576199,13968,3504
245,False,100,max_epochs,1e-05,20,0.6658122094013328,0.012752796021428441,13968,3504
246,False,100,max_epochs,1e-05,20,0.31967935003962533,0.03258567655687592,13968,3504
247,True,67,normalised_loss_delta<1e-05 after min_epochs=20,1e-05,20,0.34849387614387206,0.008372702434107253,13968,3504
248,False,100,max_epochs,1e-05,20,0.1640970719586665,0.0396445664944138,13968,3504
249,False,100,max_epochs,1e-05,20,0.20421057155646233,0.02960872141137192,13968,3504
250,False,100,max_epochs,1e-05,20,0.12974487966752501,0.03376190461729009,13968,3504
251,False,100,max_epochs,1e-05,20,0.2956646208945531,0.06222378372368782,13968,3504
252,False,100,max_epochs,1e-05,20,0.15358954815718048,0.035591881567978836,13968,3504
253,False,100,max_epochs,1e-05,20,0.2409086787529512,0.017952116312186954,13968,3504
254,True,23,normalised_loss_delta<1e-05 after min_epochs=20,1e-05,20,0.4985788231899962,0.05117087045955645,13968,3504
255,False,100,max_epochs,1e-05,20,0.2504411198289543,0.027859883846383035,13968,3504
256,False,100,max_epochs,1e-05,20,0.14192251030926453,0.04543342415843561,13968,3504
257,False,100,max_epochs,1e-05,20,0.232153159799035,0.0431459600435563,13968,3504
258,False,100,max_epochs,1e-05,20,0.31773424489141927,0.0054552863763920574,13968,3504
259,False,100,max_epochs,1e-05,20,0.27283633644566607,0.03326636384698598,13968,3504
260,False,100,max_epochs,1e-05,20,0.3122530701973354,0.009805350476876723,13968,3504
261,False,100,max_epochs,1e-05,20,0.3197262325037622,0.012876206352981713,13968,3504
262,False,100,max_epochs,1e-05,20,0.3106731257774704,0.017610015602818975,13968,3504
263,False,100,max_epochs,1e-05,20,0.31469342956099894,0.018502422653906853,13968,3504
264,False,100,max_epochs,1e-05,20,0.38633051720101685,0.005431263955159316,13968,3504
265,False,100,max_epochs,1e-05,20,0.2544352545727654,0.004290919472869674,13968,3504
266,False,100,max_epochs,1e-05,20,0.1312125324769687,0.05647106975363459,13968,3504
267,False,100,max_epochs,1e-05,20,0.26214713516323507,0.008455536613461415,13968,3504
268,False,100,max_epochs,1e-05,20,0.22212437644528105,0.02879415755061618,13968,3504
269,False,100,max_epochs,1e-05,20,0.3565685120641927,0.031317354732484544,13968,3504
270,False,100,max_epochs,1e-05,20,0.24332739859985175,0.030574642282003562,13968,3504
271,False,100,max_epochs,1e-05,20,0.2669567190326802,0.00907962370697745,13968,3504
272,False,100,max_epochs,1e-05,20,0.21972711840884446,0.03250822916152338,13968,3504
273,False,100,max_epochs,1e-05,20,0.2702078680238897,0.0638928147131384,13968,3504
274,False,100,max_epochs,1e-05,20,0.22698038191517733,0.0182589044261231,13968,3504
275,False,100,max_epochs,1e-05,20,0.22759566450636098,0.006793983627524381,13968,3504
276,False,100,max_epochs,1e-05,20,0.23197361076747464,0.033975978018763814,13968,3504
277,False,100,max_epochs,1e-05,20,0.2323332348364588,0.019159564860158,13968,3504
278,False,100,max_epochs,1e-05,20,0.28912226261107987,0.04121957956410235,13968,3504
279,False,100,max_epochs,1e-05,20,0.3149163740973075,0.015307531194137474,13968,3504
