epoch,avg_normalised_loss,avg_actual_loss,normalised_loss_delta,n_active_partitions_reported,n_partitions_stopped_this_epoch
1,0.5685932474126514,0.6557941066789678,,400,0
2,0.45105445065756994,0.29151519629616157,0.11753879675508147,400,0
3,0.43827669426685717,0.23717765039184097,0.013157778227203409,400,0
4,0.43300094248663684,0.20018361227275758,0.006302355476877909,400,0
5,0.42889822265610433,0.1921637040315567,0.005691634084834615,400,0
6,0.42460521563165365,0.17450938542389557,0.0056226793788474285,400,0
7,0.4202212249563279,0.16713927286997357,0.006052036492995975,400,0
8,0.4159094154106391,0.16293201961506298,0.005990013413774891,400,0
9,0.41210754451745807,0.161218322270827,0.006203054349482889,400,0
10,0.4086524016395164,0.1673423087633843,0.00551128965074966,400,0
11,0.4052170666343055,0.1632387704737534,0.005984974547863295,400,0
12,0.40169465007667177,0.15193626409018926,0.006296848647848348,400,0
13,0.3985019405253162,0.15003151617098762,0.006125080517998776,400,0
14,0.3957903410585255,0.1486802644184036,0.005738610297403326,400,0
15,0.3933571692843925,0.14772079490512374,0.005815406141086037,400,0
16,0.391059948321018,0.152818969413524,0.005980403363406114,400,0
17,0.3883742736909631,0.14683529029416373,0.005564294010466875,400,0
18,0.3862843858353225,0.1468742480183743,0.005328214574270998,400,0
19,0.38407958132275544,0.14400227033079604,0.005951487627113007,400,0
20,0.38140639024578576,0.14251389425559274,0.005658038200004577,400,0
21,0.37911510085609185,0.13871478569431425,0.005231143240064045,400,1
22,0.37747860021985696,0.13579529984838704,0.005513141876057326,399,1
23,0.3753152122657987,0.13636784788738243,0.0059379037998939415,398,1
24,0.3729437975392934,0.13512130483618937,0.005516782955448658,397,1
25,0.37071436571559757,0.13853185440807209,0.0056457531885884225,396,0
26,0.3691003474320657,0.13442272989907367,0.005614097364110759,396,1
27,0.36730189385933926,0.1363153942272416,0.0053020870927942805,395,1
28,0.3666728187521562,0.13719461644515116,0.0050245042585250425,394,1
29,0.3649027317027797,0.13350407979195755,0.005998952814807015,393,0
30,0.3632703861307418,0.13150656681099773,0.005013034967896799,393,1
31,0.3609772036216363,0.13159560582985497,0.00551256239317776,392,1
32,0.36004059649968617,0.1309184499062914,0.005355570167752614,391,0
33,0.3585385143831216,0.12608420938373532,0.005439501973571636,391,0
34,0.35704551372836546,0.12867754823696154,0.005646125330670019,391,1
35,0.355504012160531,0.12902635921674874,0.005688549174983677,390,0
36,0.35381666931892264,0.1272499680168238,0.005759518097032496,390,0
37,0.3521540580388897,0.12822950484934312,0.005644135781084013,390,0
38,0.35098670245005437,0.1308282436369492,0.005854535288009038,390,0
39,0.3493558861892749,0.12750816341963986,0.005474524860787328,390,0
40,0.34766749207433945,0.13273287297352285,0.005688495597180975,390,1
41,0.3461743707961309,0.1278037716191076,0.0056504902218792955,389,1
42,0.3450314863282226,0.12416911042692236,0.005618197433349867,388,0
43,0.34321735841394263,0.12536946260194168,0.005159040197643769,388,0
44,0.3416796725008123,0.12458194286708055,0.005617497965991291,388,0
45,0.3400319415979295,0.12370039924830215,0.00527381754208223,388,0
46,0.3384749926153789,0.1311704308826809,0.005838697284564309,388,0
47,0.3367914781295653,0.12384786616111564,0.0059693459508010525,388,0
48,0.3346111982805572,0.1224013990611317,0.005844175304542087,388,0
49,0.3336008766170157,0.12199025014291374,0.005459559155080248,388,0
50,0.33163548270688176,0.12170282569304082,0.0057813161386121095,388,1
51,0.33126259498007743,0.05875909201737764,0.005765603298704975,387,2
52,0.3292400931794892,0.05854050567405802,0.006010517325341287,385,3
53,0.3272811512764015,0.058193572273055265,0.006069829727536554,382,0
54,0.32624318294348537,0.05814929612296886,0.005542594024041201,382,2
55,0.3251825280184297,0.057662861154914424,0.005774915684918287,380,0
56,0.32332554361616483,0.057413091594342894,0.006159011734412907,380,0
57,0.3215584398406742,0.05721409724615469,0.006057188420546256,380,1
58,0.3197764110082695,0.05691586310367401,0.006221076868358969,379,0
59,0.31755786093379246,0.05647190357814612,0.00585739847994625,379,0
60,0.31637253982314356,0.05642409529591887,0.006194600290851523,379,2
61,0.3162290962548557,0.05647381499379402,0.006392644934344992,377,1
62,0.31302938995506124,0.05617715110191187,0.006746175767716712,376,0
63,0.31187532473792284,0.05597414229398479,0.005884751344429901,376,1
64,0.3091938413430476,0.0559522828407151,0.006407848472644198,375,0
65,0.3078632871011291,0.055657846482972534,0.005785123851600359,375,0
66,0.30624838113483666,0.05551159879620134,0.006151055412302703,375,0
67,0.30408518155447123,0.05503210784079458,0.006109557434152823,375,2
68,0.3034362170205184,0.05233606677069117,0.006372441571997315,373,0
