epoch,avg_normalised_loss,avg_actual_loss,normalised_loss_delta,n_active_partitions_reported,n_partitions_stopped_this_epoch
69,0.30152467959150064,0.05204058693287348,0.006363073201293826,373,0
70,0.30009888655553657,0.05171765039399544,0.006230670279510616,373,0
71,0.29853683056603886,0.05154436586121471,0.0070617116386555365,373,1
72,0.2965169225383946,0.05130199036410956,0.006887729008740649,372,0
73,0.2944739382781527,0.051124274476176415,0.00677419993380818,372,1
74,0.2931211795509689,0.050671136824770736,0.006222077172707202,371,0
75,0.291121803537117,0.050303250589889256,0.0057931937578203216,371,0
76,0.2893514903430427,0.05011206728307575,0.006030842505301569,371,0
77,0.28763489111432344,0.049754474598887904,0.006479398857655103,371,1
78,0.2862011606654022,0.049508836944512136,0.0058640621759503365,370,0
79,0.2843006272378625,0.04942603580606075,0.0061703312458901574,370,0
80,0.28240765979065535,0.04899225202354176,0.006148636093554418,370,0
81,0.28183212533406804,0.048997655120529476,0.006466788089439226,370,0
82,0.2805052969106684,0.0488194730470608,0.007142682743278959,370,0
83,0.2777298717977067,0.0483234627214244,0.006981444888399662,370,2
84,0.2755557214672015,0.04829965083855332,0.006600181171400929,368,0
85,0.2737165337316747,0.04789918699972461,0.0063130493631285665,368,0
86,0.27211519742455287,0.047653958753603856,0.006265076000382524,368,2
87,0.2709348006211815,0.047653316757387654,0.006126080482492303,366,0
88,0.2690645051188123,0.047224891695034424,0.006514367899411084,366,0
89,0.26692296159397505,0.04698570552750337,0.005993753945776006,366,0
90,0.2656062847357357,0.046765026136267485,0.006610469846649431,366,0
91,0.26375293133389766,0.046508464549507675,0.006389487867700952,366,1
92,0.26192484759007045,0.04626387360346464,0.006314564776643148,365,0
93,0.2599355217767767,0.04594358839629842,0.0058369154487734,365,0
94,0.25844394655272923,0.045760296609100685,0.006244271017226945,365,1
95,0.2556949245203261,0.045320270609981256,0.006382908464795386,364,0
96,0.2548612902962857,0.0452134364550345,0.005876271554013635,364,1
97,0.2532396497101164,0.04505371645130916,0.00674591243388199,363,2
98,0.25133057590294544,0.04466755419213433,0.006146004190650288,361,0
99,0.2508771986291995,0.04444086991557325,0.006713586299275846,361,2
100,0.2479853038144056,0.04413701637764716,0.006496935215340558,359,1
