unique_id,level,role,horizon_index,target_col,method,MAE,MASE,RMSSE,approach
GC,1,top,0,y,base,4.327814094517329,0.7063899862907426,0.6430501025545968,localised
GC,1,top,0,y,bu,6.616443058216949,1.0799422108052925,1.064626499910194,localised
GC,1,top,0,y,mint_shrinkage,5.048074587512523,0.8239515979175428,0.7799194973297426,localised
GC,1,top,0,y,mint_var,5.360598089557008,0.8749619850329255,0.8397377429895083,localised
GC,1,top,0,y,mint_ols,4.308247195286463,0.7031962581458683,0.6397513983214053,localised
GC,1,top,0,y,wls_structure,4.750445332549471,0.775372264161174,0.7294711967751086,localised
GC,1,top,0,y,naive,7.763218892694064,1.2671200674098724,1.1986836378788746,localised
GC/2008,2,middle,0,y,base,0.09490605640630811,0.91858424465791,0.8631564337046176,localised
GC/2008,2,middle,0,y,bu,0.08881527712565238,0.8596323284498805,0.7982616414174726,localised
GC/2008,2,middle,0,y,mint_shrinkage,0.09334496356363764,0.9034746157888506,0.8433321156918258,localised
GC/2008,2,middle,0,y,mint_var,0.08920625051294344,0.8634165125920237,0.8101908662704972,localised
GC/2008,2,middle,0,y,mint_ols,0.09802898266384973,0.9488106703048147,0.8581467239708779,localised
GC/2008,2,middle,0,y,wls_structure,0.08883433126829546,0.8598167511926448,0.8036016320892254,localised
GC/2008,2,middle,0,y,naive,0.09359674657534246,0.9059115931155073,0.9292703699999881,localised
GC/2010,2,middle,0,y,base,0.20631319183507257,1.3746562140354137,1.0685785821887546,localised
GC/2010,2,middle,0,y,bu,0.24636111115167456,1.6414938343450478,1.2088138776870572,localised
GC/2010,2,middle,0,y,mint_shrinkage,0.21519596596192175,1.4338417684962625,1.0655499015057925,localised
GC/2010,2,middle,0,y,mint_var,0.21740812316067112,1.4485812798800761,1.0737720181274315,localised
GC/2010,2,middle,0,y,mint_ols,0.22379812874815,1.4911576212687105,1.079128828822295,localised
GC/2010,2,middle,0,y,wls_structure,0.21851024253132922,1.4559246553957585,1.0764517064456958,localised
GC/2010,2,middle,0,y,naive,0.1729697488584475,1.1524902406555126,1.0456213595674355,localised
GC/2018,2,middle,0,y,base,0.27135793432919947,1.3771701531237603,1.4129880870742049,localised
GC/2018,2,middle,0,y,bu,0.26306726495319444,1.3350941311261875,1.3561883826371972,localised
GC/2018,2,middle,0,y,mint_shrinkage,0.2555189975251345,1.2967858773601144,1.326549322982065,localised
GC/2018,2,middle,0,y,mint_var,0.2549536224583409,1.2939165392321055,1.3284556991768355,localised
GC/2018,2,middle,0,y,mint_ols,0.25894171041050307,1.3141565064522538,1.33270068610083,localised
GC/2018,2,middle,0,y,wls_structure,0.2548977137993505,1.2936327968876882,1.3262502004521994,localised
GC/2018,2,middle,0,y,naive,0.2801615296803653,1.4218493285743528,1.4621940984399064,localised
