method,MAE,MASE,RMSSE,n_series,approach
base,0.17549969511825217,1.1785565382052638,1.0645553858267836,400,localised
bu,0.18143314167549496,1.1801899198213608,1.0653620671808266,400,localised
mint_ols,0.1779248216140787,1.2277611809784372,1.0567705692071592,400,localised
mint_shrinkage,0.17516896552545214,1.1734952123047455,1.046528108424984,400,localised
mint_var,0.1744578304957713,1.1639757729078872,1.0422645878705243,400,localised
naive,0.18556221675228313,1.1676980617865262,1.133205203092397,400,localised
wls_structure,0.17330516858664563,1.1737835049684044,1.0410962659757776,400,localised
