method,MAE,MASE,RMSSE,n_nodes
base,0.17905501649448483,1.1397201302482738,1.0118749891941645,400
bu,0.17853089147600112,1.1380813952942952,1.0118934290205996,400
mint_cov,0.17979588674117264,1.1677402880387322,1.0113600004765382,400
mint_ols,0.1814737800756615,1.165213584952265,1.0127308600866585,400
mint_shrinkage,0.1787834684276389,1.1584334602721038,1.0079716313039624,400
mint_var,0.1788245234670238,1.1425090737190495,1.010951751929168,400
naive,0.18556221689075902,1.1676980630962175,1.133205203226177,400
wls_structure,0.18147378007756934,1.1652135849641478,1.0127308600864575,400
