node_id,unique_id,level,role,method,MAE,MASE,RMSSE
0,GC,1,top,base,7.441642816096407,1.2146321092326018,1.1060560840560807
0,GC,1,top,naive,7.763218904678299,1.2671200681961958,1.198683633787918
0,GC,1,top,bu,7.473590893512299,1.2198467052051005,1.1583940292346557
0,GC,1,top,mint_cov,6.69996022762338,1.0935739626537995,1.0046005775224023
0,GC,1,top,mint_shrinkage,6.742237771913067,1.1004745441601684,1.004152180063593
0,GC,1,top,mint_ols,7.434820288256553,1.213518529666206,1.1056014821614364
0,GC,1,top,mint_var,7.329494607040278,1.1963271705142502,1.123026392114454
0,GC,1,top,wls_structure,7.434820288422074,1.2135185296932225,1.1056014821511755
1,GC/2008,2,middle,base,0.08499209785508868,0.8226282378639715,0.8045334174842395
1,GC/2008,2,middle,naive,0.09359674649783363,0.9059115915998517,0.9292703680012783
1,GC/2008,2,middle,bu,0.08499209785508868,0.8226282378639715,0.8045334174842395
1,GC/2008,2,middle,mint_cov,0.08778155343509583,0.849627041120876,0.806816813579355
1,GC/2008,2,middle,mint_shrinkage,0.0871648861506644,0.8436583930424967,0.805597839429287
1,GC/2008,2,middle,mint_ols,0.08863714100655755,0.857908169767093,0.8087808047251649
1,GC/2008,2,middle,mint_var,0.08503555872652403,0.8230488903832899,0.8044723033241774
1,GC/2008,2,middle,wls_structure,0.08863714100716426,0.8579081697729654,0.8087808047230297
2,GC/2010,2,middle,base,0.1537660926981367,1.0245370799802578,0.8762776545811447
2,GC/2010,2,middle,naive,0.1729697488429834,1.1524902421264178,1.0456213612674596
2,GC/2010,2,middle,bu,0.1537660926981367,1.0245370799802578,0.8762776545811447
2,GC/2010,2,middle,mint_cov,0.1571342383210513,1.0469788941728286,0.8859540087678336
2,GC/2010,2,middle,mint_shrinkage,0.1551798892349606,1.0339571475003926,0.8812681971808717
2,GC/2010,2,middle,mint_ols,0.15882484511026373,1.0582433368911255,0.8780850691546257
2,GC/2010,2,middle,mint_var,0.15402357091281857,1.026252646615267,0.8762643975203801
2,GC/2010,2,middle,wls_structure,0.15882484511862974,1.0582433369468678,0.8780850691537234
3,GC/2018,2,middle,base,0.25901082422346533,1.3145072660784005,1.3239054812845616
3,GC/2018,2,middle,naive,0.2801615297718409,1.4218493287484808,1.4621940970491414
