epoch,avg_normalised_loss,avg_actual_loss,normalised_loss_delta,stopped
1,0.4192431576052768,0.2040526711166285,,False
2,0.4122812401103794,0.18528663132114048,0.006961917494897385,False
3,0.41119299704444645,0.18645028584916784,0.00108824306593297,False
4,0.40430193788357627,0.18479266364677788,0.006891059160870183,False
5,0.4028574105633623,0.18345010435079565,0.0014445273202139952,False
6,0.4014205105395436,0.18417731981333957,0.001436900023818688,False
7,0.4007119771363259,0.19509867814154558,0.0007085334032176926,False
8,0.3976705731477243,0.17204313812527006,0.0030414039886015876,False
9,0.3967235276307057,0.18826519311150544,0.0009470455170186298,False
10,0.39458388943532297,0.17550177024624913,0.0021396381953827093,False
11,0.3950726287368456,0.17507735265003152,0.000488739301522656,False
12,0.39305118255389054,0.18882754355177953,0.002021446182955078,False
13,0.39264566499940096,0.17525505020225496,0.00040551755448958726,False
14,0.389903910096111,0.17781106588549778,0.0027417549032899835,False
15,0.3894869307767494,0.17587220137159335,0.00041697931936157673,False
16,0.3892359887344401,0.17293249650807377,0.00025094204230929895,False
17,0.38888935509082034,0.1759697421444911,0.0003466336436197537,False
18,0.38798845446149066,0.1745027273794396,0.0009009006293296817,False
19,0.38640663400145575,0.17022183629467494,0.0015818204600349106,False
20,0.38668699724895916,0.163093646601095,0.00028036324750341235,False
21,0.38575133349035745,0.17649518871937114,0.0009356637586017125,False
22,0.3850232192168676,0.17124188612658506,0.0007281142734898438,False
23,0.3844387267918001,0.16726044294544037,0.0005844924250675287,False
24,0.38381815044177897,0.16451144659131597,0.000620576350021107,False
25,0.3837610662782015,0.17181127224188603,5.7084163577469926e-05,False
26,0.3829706345247583,0.17198839572367253,0.0007904317534431771,False
27,0.3819526635914064,0.1670182162331225,0.0010179709333519305,False
28,0.381051650184066,0.16591531199157797,0.0009010134073403897,False
29,0.38085148562658666,0.16214741299829055,0.00020016455747934314,False
30,0.381274557149852,0.1702220199684381,0.00042307152326531705,False
31,0.38006759715413935,0.16403889578773923,0.001206959995712631,False
32,0.3799607882742584,0.16577664126852765,0.00010680887988095966,False
33,0.3808897979528172,0.16961365371542694,0.0009290096785588009,False
34,0.37893214698690786,0.17266878295487806,0.00195765096590933,False
35,0.37938017022691956,0.17581652843901438,0.0004480232400116968,False
36,0.3796091820217698,0.1624084451318654,0.00022901179485024237,False
37,0.3774887929387793,0.16441197405304048,0.0021203890829905037,False
38,0.3776471935938422,0.1655273842033105,0.0001584006550628958,False
39,0.37803248380950316,0.16594884637251564,0.00038529021566097166,False
40,0.37763542455404153,0.17427183344913308,0.00039705925546162923,False
41,0.37654560524091685,0.16862440082720537,0.0010898193131246847,False
42,0.37848223140118703,0.16668414795275258,0.0019366261602701829,False
