partition_id,epoch,avg_normalised_loss,avg_actual_loss,normalised_loss_delta,stopped
0,1,0.1512398921072038,215.38452398162198,,False
0,2,0.05792855640054094,82.49751022322208,0.09331133570666285,False
0,3,0.04371665582271629,62.25798612557762,0.014211900577824649,False
0,4,0.03384523455481902,48.199847487783394,0.009871421267897272,False
0,5,0.031906226148364955,45.4384569789589,0.0019390084064540639,False
0,6,0.027156901252652844,38.67482426509837,0.004749324895712111,False
0,7,0.025528403373820223,36.35563958736257,0.0016284978788326208,False
0,8,0.024649638184870655,35.10416803923847,0.0008787651889495679,False
0,9,0.024315593784906574,34.62844703023384,0.0003340443999640813,False
0,10,0.026268872185278572,37.410159795338814,0.0019532784003719987,False
0,11,0.025328671527389858,36.07119645487949,0.0009402006578887144,False
0,12,0.022339634980754815,31.814434533201318,0.0029890365466350433,False
0,13,0.022024280849687425,31.365330804950563,0.0003153541310673899,False
0,14,0.021808939020610672,31.058657104627166,0.00021534182907675253,False
0,15,0.021670045183418613,30.860854907132953,0.00013889383719205978,False
0,16,0.023240903271935717,33.0979533136705,0.0015708580885171047,False
0,17,0.021663044504627155,30.850885064864233,0.0015778587673085619,False
0,18,0.02182356614132062,31.079487954130155,0.00016052163669346559,False
0,19,0.021118017230378403,30.074698052393618,0.0007055489109422178,False
0,20,0.02079728192295404,29.617930855913944,0.0003207353074243628,False
0,21,0.019875446061625515,28.30512128289009,0.0009218358613285252,False
0,22,0.01910092813679617,27.20211087848994,0.0007745179248293439,False
0,23,0.019300332295644356,27.486087342867656,0.00019940415884818485,False
0,24,0.018978480938359497,27.02773075178717,0.0003218513572848594,False
0,25,0.019965194918765302,28.432934881561835,0.0009867139804058053,False
0,26,0.018977355304070284,27.02612770776102,0.0009878396146950179,False
0,27,0.01954472531595381,27.834133573332245,0.0005673700118835265,False
0,28,0.020098223194495363,28.62238378584897,0.000553497878541552,False
0,29,0.019175807507963587,27.30874846920909,0.0009224156865317752,False
0,30,0.018682637647478167,26.606412900446312,0.0004931698604854207,False
0,31,0.018790377897089892,26.75984849242514,0.00010774024961172565,False
0,32,0.018619469557756667,26.516453639394673,0.00017090833933322558,False
0,33,0.01736381590911962,24.728245782133207,0.0012556536486370458,False
0,34,0.01809976188628568,25.776324908345117,0.0007359459771660581,False
0,35,0.018201474315549332,25.921176130167186,0.00010171242926365273,False
0,36,0.01783304724372674,25.396489895729754,0.0003684270718225906,False
0,37,0.018145182296977515,25.84100925451601,0.0003121350532507734,False
0,38,0.01891556292818216,26.938127635287263,0.0007703806312046452,False
0,39,0.018059655380254,25.719208227092285,0.0008559075479281607,False
0,40,0.019628226873145593,27.95305023544364,0.0015685714928915934,False
0,41,0.018269854701131103,26.01855835249626,0.0013583721720144895,False
0,42,0.017266086256135255,24.589066531912607,0.0010037684449958478,False
0,43,0.017649023681383543,25.134417324634573,0.00038293742524828783,False
0,44,0.01745723625304428,24.861288037229176,0.00019178742833926218,False
0,45,0.017294165699768976,24.62905517192321,0.0001630705532753053,False
0,46,0.019414685727403305,27.648940933424363,0.0021205200276343296,False
0,47,0.017551890322721968,24.99608727211623,0.0018627954046813375,False
0,48,0.01716298703514552,24.442240345207768,0.00038890328757644824,False
0,49,0.01714197907707589,24.41232238516687,2.1007958069630545e-05,False
0,50,0.017142573125383167,24.413168384262097,5.940483072779112e-07,True
1,1,0.8082284127998711,0.024946416907545364,,False
1,2,0.7061728771613289,0.02179641636383479,0.1020555356385422,False
1,3,0.7071809785631752,0.02182753197107807,0.001008101401846262,False
1,4,0.6960900544964838,0.02148520446653125,0.011090924066691432,False
1,5,0.6909310441447126,0.021325968759115594,0.005159010351771132,False
